Name,Team,Total points,average points,match played,total runs ,total wickets
115Kumar Kartikeya,RR,53.5,17.8,3,1,2
116Anshul Kamboj,CSK,50.9,25.4,2,3,2
117Kagiso Rabada,GT,50.4,25.2,2,7,2
118Xavier Bartlett,PBKS,44.8,14.9,3,11,2
119Harpreet Brar,PBKS,42.2,21.1,2,0,3
120Josh Inglis,PBKS,40.9,13.6,3,45,-
121Vaibhav Suryavanshi,RR,39,39,1,34,-
122Ishant Sharma,GT,38.6,9.6,4,0,2
123Manimaran Siddharth,LSG,38.4,19.2,2,0,2
124Marcus Stoinis,PBKS,38.4,5.4,7,67,-
125Kamindu Mendis,SRH,34.6,17.3,2,28,1
126Nitish Kumar Reddy,SRH,32.6,4.6,7,131,-
127Manish Pandey,KKR,30.2,30.2,1,19,-
128Romario Shepherd,RCB,29.6,29.6,1,0,1
129Shaik Rasheed,CSK,29.1,29.1,1,27,-
130Ramandeep Singh,KKR,27.7,3.9,7,29,-
131David Miller,LSG,26.4,3.3,8,104,-
132Rahul Tripathi,CSK,24.1,4.8,5,55,-
133Vijaykumar Vyshak,PBKS,23.7,23.7,1,0,-
134Kulwant Khejroliya,GT,22.1,22.1,1,0,1
135Shubham Dubey,RR,20.8,5.2,4,47,-
136Sameer Rizvi,DC,17.9,8.9,2,24,-
137Anrich Nortje,KKR,16.6,16.6,1,0,1
138Adam Zampa,SRH,15.8,7.9,2,0,2
139Jake Fraser-McGurk,DC,15.6,2.6,6,55,-
140Yash Thakur,PBKS,14.6,7.3,2,0,1
141Mukesh Choudhary,CSK,12.2,6.1,2,0,1
142Rasikh Salam,RCB,12.1,6,2,0,1
143Nathan Ellis,CSK,10.4,10.4,1,0,1
144Mujeeb Ur Rahman,MI,8.1,8.1,1,0,1
145Jaydev Unadkat,SRH,2.9,2.9,1,0,-
146Suryansh Shedge,PBKS,1.8,0.4,4,6,-
147Rahul Chahar,SRH,0.9,0.9,1,0,-
148Himmat Singh,LSG,0,0,1,0,-
149Raj Bawa,MI,0,0,1,0,-
150Yudhvir Singh,RR,-0.4,-0.4,1,0,-
151Manoj Bhandage,RCB,-3,-3,1,1,-
152Fazalhaq Farooqi,RR,-4.2,-2.1,2,0,-
153Jamie Overton,CSK,-4.4,-2.2,2,11,-
154Satyanarayana Raju,MI,-5.6,-2.8,2,1,1
155Spencer Johnson,KKR,-5.9,-1.5,4,2,1
156Donovan Ferreira,DC,-6.7,-6.7,1,1,-
157Wiaan Mulder,SRH,-7.4,-7.4,1,9,-
158Shahbaz Ahmed,LSG,-8.9,-8.9,1,9,-
159Azmatullah Omarzai,PBKS,-11.9,-11.9,1,16,-
160Simarjeet Singh,SRH,-13.3,-3.4,4,3,2
161Rishabh Pant,LSG,-14.3,-1.8,8,106,-
162Deepak Hooda,CSK,-18.8,-6.3,3,7,-
163Robin Minz,MI,-19.8,-9.9,2,6,-
164Abhinav Manohar,SRH,-20.7,-5.2,4,6,-
165Sam Curran,CSK,-24.5,-12.3,2,12,-
