player,Runs,Avg_x,S/R,Wkts,Avg_y,E/R,Catches,Stumping,Credits,Player Type,Team_x,Team_y,Total points,average points,match played,total runs ,total wickets,total_dismissals
K D Karthik,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,5.0
K D Karthik,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,10.0
K Kagiso Rabada,0.0,0.0,0.0,11.0,33.82,8.86,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
K L Rahul,520.0,37.14,136.13,0.0,0.0,0.0,14.0,2.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,16.0
K R Sen,0.0,0.0,0.0,6.0,20.33,10.17,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Khaleel Ahmed,0.0,0.0,0.0,17.0,28.18,9.58,0.0,0.0,7.5,BOWL,CHE,0,0.0,0.0,0.0,0.0,0,0.0
Khaleel Ahmed,0.0,0.0,0.0,17.0,28.18,9.58,0.0,0.0,7.5,BOWL,CHE,0,0.0,0.0,0.0,0.0,0,0.0
Krunal Pandya,133.0,33.25,126.67,0.0,0.0,0.0,0.0,0.0,7.5,ALL,RCB,0,0.0,0.0,0.0,0.0,0,0.0
Kuldeep Yadav,0.0,0.0,0.0,16.0,23.25,8.65,0.0,0.0,8.5,BOWL,DC,0,0.0,0.0,0.0,0.0,0,0.0
L H Ferguson,0.0,0.0,0.0,9.0,28.33,10.63,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
L S Livingstone,0.0,0.0,0.0,3.0,28.0,7.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
M A Starc,0.0,0.0,0.0,17.0,26.12,10.61,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
M J Santner,0.0,0.0,0.0,2.0,32.0,7.11,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
M P Stoinis,0.0,0.0,0.0,4.0,31.5,9.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
M S Dhoni,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,10.0
M S Dhoni,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,10.0
M Siddharth,0.0,0.0,0.0,1.0,71.0,7.89,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
MS Dhoni,161.0,53.67,220.55,0.0,0.0,0.0,0.0,0.0,7.0,WK,CHE,0,0.0,0.0,0.0,0.0,0,0.0
Manav Suthar,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,6.0,ALL,GT,0,0.0,0.0,0.0,0.0,0,0.0
Manish Pandey,42.0,42.0,135.48,0.0,0.0,0.0,0.0,0.0,7.0,BAT,KKR,0,0.0,0.0,0.0,0.0,0,0.0
Marcus Stoinis,388.0,32.33,147.53,0.0,0.0,0.0,0.0,0.0,8.0,ALL,PBKS,0,0.0,0.0,0.0,0.0,0,0.0
Matheesha Pathirana,0.0,0.0,0.0,13.0,13.0,7.68,0.0,0.0,8.5,BOWL,CHE,0,0.0,0.0,0.0,0.0,0,0.0
Mayank Markande,0.0,0.0,0.0,8.0,32.38,11.77,0.0,0.0,6.0,BOWL,KKR,0,0.0,0.0,0.0,0.0,0,0.0
Mayank Yadav,0.0,0.0,0.0,7.0,12.14,6.99,0.0,0.0,7.5,BOWL,LSG,0,0.0,0.0,0.0,0.0,0,0.0
Mohammed Siraj,0.0,0.0,0.0,15.0,33.07,9.19,0.0,0.0,8.0,BOWL,GT,0,0.0,0.0,0.0,0.0,0,0.0
Mohit Sharma,0.0,0.0,0.0,13.0,32.69,10.9,0.0,0.0,7.5,BOWL,DC,0,0.0,0.0,0.0,0.0,0,0.0
Mohsin Khan,0.0,0.0,0.0,10.0,38.5,10.13,0.0,0.0,7.0,BOWL,LSG,0,0.0,0.0,0.0,0.0,0,0.0
Mukesh Choudhary,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,6.5,BOWL,CHE,0,0.0,0.0,0.0,0.0,0,0.0
Mukesh Kumar,0.0,0.0,0.0,17.0,21.65,10.37,0.0,0.0,7.0,BOWL,DC,0,0.0,0.0,0.0,0.0,0,0.0
Mustafizur Rahman,0.0,0.0,0.0,14.0,22.71,9.26,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
N Burger,0.0,0.0,0.0,7.0,20.71,8.53,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
N Pooran,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,8.0
Nathan Ellis,0.0,0.0,0.0,1.0,24.0,6.0,0.0,0.0,7.0,BOWL,CHE,0,0.0,0.0,0.0,0.0,0,0.0
Naveen-ul-Haq,0.0,0.0,0.0,14.0,26.57,10.19,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Nicholas Pooran,499.0,62.38,178.21,0.0,0.0,0.0,0.0,0.0,8.5,WK,LSG,0,0.0,0.0,0.0,0.0,0,0.0
Nitish Kumar Reddy,303.0,33.67,142.92,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Noor Ahmad,0.0,0.0,0.0,8.0,36.25,8.33,0.0,0.0,7.5,BOWL,CHE,0,0.0,0.0,0.0,0.0,0,0.0
P D Salt,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,12.0
P D Salt,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,5.0
P J Cummins,0.0,0.0,0.0,18.0,31.44,9.28,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
P P Chawla,0.0,0.0,0.0,13.0,24.0,8.91,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Phil Salt,435.0,39.55,182.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Prabhsimran Singh,334.0,23.86,156.81,0.0,0.0,0.0,0.0,0.0,7.5,WK,PBKS,0,0.0,0.0,0.0,0.0,0,0.0
R D Chahar,0.0,0.0,0.0,10.0,27.9,9.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
R R Pant,446.0,40.55,155.4,0.0,0.0,0.0,11.0,5.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,16.0
R S Kishore,0.0,0.0,0.0,7.0,19.57,9.13,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Rahmanullah Gurbaz,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.5,WK,KKR,0,0.0,0.0,0.0,0.0,0,5.0
Rahmanullah Gurbaz,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,7.5,WK,KKR,0,0.0,0.0,0.0,0.0,0,10.0
Rahul Tewatia,188.0,26.86,145.74,0.0,0.0,0.0,0.0,0.0,7.0,ALL,GT,0,0.0,0.0,0.0,0.0,0,0.0
Rahul Tripathi,165.0,27.5,143.48,0.0,0.0,0.0,0.0,0.0,7.5,BAT,CHE,0,0.0,0.0,0.0,0.0,0,0.0
Rajat Patidar,395.0,30.38,177.13,0.0,0.0,0.0,0.0,0.0,8.0,BAT,RCB,0,0.0,0.0,0.0,0.0,0,0.0
Ramandeep Singh,125.0,31.25,201.61,0.0,0.0,0.0,0.0,0.0,7.5,ALL,KKR,0,0.0,0.0,0.0,0.0,0,0.0
Rashid Khan,0.0,0.0,0.0,10.0,36.7,8.4,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Rasikh Salam,0.0,0.0,0.0,9.0,29.89,10.98,0.0,0.0,6.5,BOWL,RCB,0,0.0,0.0,0.0,0.0,0,0.0
Ravi Bishnoi,0.0,0.0,0.0,10.0,38.3,8.77,0.0,0.0,8.0,BOWL,LSG,0,0.0,0.0,0.0,0.0,0,0.0
Ravichandran Ashwin,0.0,0.0,0.0,9.0,51.89,8.49,0.0,0.0,8.0,ALL,CHE,0,0.0,0.0,0.0,0.0,0,0.0
Ravindra Jadeja,267.0,44.5,142.78,0.0,0.0,0.0,0.0,0.0,8.5,ALL,CHE,0,0.0,0.0,0.0,0.0,0,0.0
Rinku Singh,125.0,31.25,201.61,0.0,0.0,0.0,0.0,0.0,7.5,BAT,KKR,0,0.0,0.0,0.0,0.0,0,0.0
Riyan Parag,573.0,52.09,149.22,0.0,0.0,0.0,0.0,0.0,8.0,ALL,RR,0,0.0,0.0,0.0,0.0,0,0.0
Rohit Sharma,417.0,32.08,150.0,0.0,0.0,0.0,0.0,0.0,9.0,BAT,MI,0,0.0,0.0,0.0,0.0,0,0.0
Rovman Powell,103.0,17.17,151.47,0.0,0.0,0.0,0.0,0.0,7.0,BAT,KKR,0,0.0,0.0,0.0,0.0,0,0.0
Ruturaj Gaikwad,583.0,53.0,141.16,0.0,0.0,0.0,0.0,0.0,9.0,BAT,CHE,0,0.0,0.0,0.0,0.0,0,0.0
S Dube,0.0,0.0,0.0,1.0,14.0,14.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
S M Curran,0.0,0.0,0.0,16.0,26.0,10.15,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
S P Narine,0.0,0.0,0.0,17.0,21.65,6.69,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
